AI_id,text_obj,text_mthd,text_deal,document,label
id_0387679,?멉장에서,일반인대상으로,타로 사주,사업장에서 일반인대상으로 타로 사주,S96969
id_0365686,고양이?에서,고양이를대상으로,고양이미용,고양이에서 고양이를대상으로 고양이미용,S96969
id_0603132,빨래방에서,고객이 직접,셀프세?,빨래방에서 고객이 직접 셀프세차,S96969
id_0056528,사업장에서,방문고객을대상으로,점술? 무속,사업장에서 방문고객을대상으로 점술 무속,S96969
id_0572503,사업장에서,산업대상자를 대상으로,세?비스,사업장에서 산업대상자를 대상으로 세차서비스,S96969
id_0612754,산후조리?에서,산모를대상,산모돌봄,산후조리원에서 산모를대상 산모돌봄,S96969
id_0040801,서비스,장?식준비,장례식장 및 장의 관련 서비스업,서비스 장례식준비 장례식장 및 장의 관련 서비스업,S96969
id_0887582,세탁소에서,고객을 대상으?,드라이크리닝,세탁소에서 고객을 대상으로 드라이크리닝,S96969
id_0047637,세탁소에서 물?칵 드라이세탁,고객을 대상으로,물세탁 드라이세탁,세탁소에서 물세탁 드라이세탁 고객을 대상으로 물세탁 드라이세탁,S96969
id_0117356,세탁소에서,일반소비자에게,세탁물수집?드라이크리닝,세탁소에서 일반소비자에게 세탁물수집 드라이크리닝,S96969
id_0160042,세탁소에서,일반인대상,세? 수선,세탁소에서 일반인대상 세탁 수선,S96969
id_0622348,세탁소에서,일반인을 대상으로,의류 세탁 ? 다림질,세탁소에서 일반인을 대상으로 의류 세탁 다림질,S96969
id_0647084,애견을 대상으로,?에서,애견미용서비스,애견을 대상으로 숍에서 애견미용서비스,S96969
id_0375429,영업장에서,?의로받아,의류세탁,영업장에서 의로받아 의류세탁,S96969
id_0442011,영업장에서,일반인을대상으로 ?,철학관,영업장에서 일반인을대상으로 철학관,S96969
id_0824694,일반고객대상으로,웨딩?에서,웨딩토탈서비스,일반고객대상으로 웨딩숍에서 웨딩토탈서비스,S96969
id_0498909,,장?식 대행 서비스,,장례식 대행 서비스,S96969
id_0515562,장?식장에서,고객대상,장례식장,장례식장에서 고객대상 장례식장,S96969
id_0066778,점술집,점술?g 유사서비스제공,점술,점술집 점술 유사서비스제공 점술,S96969
id_0690703,?에서,고객대상으로,두발미용업,숍에서 고객대상으로 두발미용업,S96961
id_0690705,?에서,고객대상으로,타이마사지,숍에서 고객대상으로 타이마사지,S96961
id_0691485,?에서,고객상대로,마사지,숍에서 고객상대로 마사지,S96961
id_0691699,?에서,고객에게,네일아트,숍에서 고객에게 네일아트,S96961
id_0691867,?에서,고객에게,마사지제공,숍에서 고객에게 마사지제공,S96961
id_0692506,?에서,고객에게,왁싱 피부관리,숍에서 고객에게 왁싱 피부관리,S96961
id_0693008,?에서,고객요청,피부맛자지,숍에서 고객요청 피부맛자지,S96961
id_0692574,?에서,고객요청에,손톱 발톱관리,숍에서 고객요청에 손톱 발톱관리,S96961
id_0693511,?에서,고객을 대상으로,네일손질,숍에서 고객을 대상으로 네일손질,S96961
id_0694377,?에서,고객을 대상으로,바디맛사지 왁싱,숍에서 고객을 대상으로 바디맛사지 왁싱,S96961
id_0694697,?에서,고객의 요청으로,메이크업서비스,숍에서 고객의 요청으로 메이크업서비스,S96961
id_0694840,?에서,손님대상으로,네일아트서비스,숍에서 손님대상으로 네일아트서비스,S96961
id_0695351,?에서,시설을 갖추고,네일 눈썹 미용서비스,숍에서 시설을 갖추고 네일 눈썹 미용서비스,S96961
id_0695371,?에서,시설을 갖추고,네일케어,숍에서 시설을 갖추고 네일케어,S96961
id_0695852,?에서,일반고객 대상,네일,숍에서 일반고객 대상 네일,S96961
id_0696282,?에서,일반고객 대상으로,네일아트 머리붙임,숍에서 일반고객 대상으로 네일아트 머리붙임,S96961
id_0699544,?에서,일반고객,피부맛사지,숍에서 일반고객 피부맛사지,S96961
id_0696262,?에서,일반고객대상,속눈썹 마사지왁싱,숍에서 일반고객대상 속눈썹 마사지왁싱,S96961
id_0696917,?에서,일반고객에게,네일아트,숍에서 일반고객에게 네일아트,S96961
id_0697352,?에서,일반고객을 대상으로,속눈썹 연장,숍에서 일반고객을 대상으로 속눈썹 연장,S96961
id_0698268,?에서,일반고객을 대상으로,손톱관리,숍에서 일반고객을 대상으로 손톱관리,S96961
id_0698482,?에서,일반고객을 대상으로,피부관리서비스,숍에서 일반고객을 대상으로 피부관리서비스,S96961
id_0699449,?에서,일반고객을 대상으로,피부미용서비스,숍에서 일반고객을 대상으로 피부미용서비스,S96961
id_0699614,?에서,일반대중에서,맛사지,숍에서 일반대중에서 맛사지,S96961
id_0699724,?에서,일반소비자에게,눈썹손질서비스,숍에서 일반소비자에게 눈썹손질서비스,S96961
id_0700394,?에서,일반인 대상으로,손톱미용서비스,숍에서 일반인 대상으로 손톱미용서비스,S96961
id_0699905,?에서,일반인대상,손톱 서비스,숍에서 일반인대상 손톱 서비스,S96961
id_0700069,?에서,일반인대상으로,네일,숍에서 일반인대상으로 네일,S96961
id_0700435,?에서,일반인에게,피부스킨케어,숍에서 일반인에게 피부스킨케어,S96961
id_0701405,?에서,일반인을 대상으로,손톱미용,숍에서 일반인을 대상으로 손톱미용,S96961
id_0702218,?에서,일반인을 대상으로,피부관리를 함,숍에서 일반인을 대상으로 피부관리를 함,S96961
id_0702608,?에서,일반인을대샹으로,피부관리,숍에서 일반인을대샹으로 피부관리,S96961
id_0258877,고객을 대상으로,눈썹관리,?에서,고객을 대상으로 눈썹관리 숍에서,S96961
id_0457073,고객을대상으로,미장원에서,? 염색등,고객을대상으로 미장원에서 염색등,S96961
id_0718254,마삿지?에서,방문고객대상으로,피부맛사지,마삿지숍에서 방문고객대상으로 피부맛사지,S96961
id_0718919,마삿지?에서,일반인을 대상으로,체형 발관리서비스,마삿지숍에서 일반인을 대상으로 체형 발관리서비스,S96961
id_0027279,맛사지샵에거,일반인을대상으?,타이맛사지,맛사지샵에거 일반인을대상으로 타이맛사지,S96961
id_0460172,매장,일반?,속눈섭,매장 일반 속눈섭,S96961
id_0689168,매장에서,고객들에게,이?미용 서비스,매장에서 고객들에게 이미용 서비스,S96961
id_0970325,매장에서,일반이대상으로,헤어 미용관리?,매장에서 일반이대상으로 헤어 미용관리숍,S96961
id_0422749,메이크?에서,일반인에게,피부관리 미용서비스,메이크숍에서 일반인에게 피부관리 미용서비스,S96961
id_0518700,미용실에서,고객대상으로,? 파마 염색,미용실에서 고객대상으로 파마 염색,S96961
id_0105062,미용실에서,고객의 요구에 따라,? 파마 등 두발미용서비스,미용실에서 고객의 요구에 따라 파마 등 두발미용서비스,S96961
